City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
kapit,my,79.97540000000004,86,1.26,48,112.94,2.02
loa janan,id,83.66539999999995,83,1.21,24,117.09,-0.58
bontang,id,82.89140000000005,99,3.31,8,117.47,0.12
palu,id,70.92139999999998,92,0.76,100,119.87,-0.9
poso,id,81.23540000000003,100,1.56,8,120.75,-1.4
gorontalo,id,82.22540000000004,71,1.86,24,123.06,0.54
tondano,id,88.06999999999996,66,4.6,40,124.91,1.3
sorong,id,82.49539999999999,100,1.21,80,131.25,-0.86
manokwari,id,81.68540000000002,100,4.91,44,134.08,-0.87
biak,id,78.71539999999996,100,0.86,32,122.88,-0.91
vanimo,pg,83.57540000000003,100,8.16,20,141.3,-2.67
aitape,pg,83.97139999999999,87,5.36,12,142.36,-3.15
lorengau,pg,84.11539999999997,95,4.61,0,147.27,-2.02
kavieng,pg,85.28540000000001,99,3.61,12,150.8,-2.57
namatanai,pg,83.97139999999999,99,2.81,88,152.44,-3.66
kieta,pg,83.57540000000003,86,4.46,32,155.63,-6.22
buala,sb,81.32540000000003,96,1.16,88,159.59,-8.15
